pos	x	lambda
1922	112	102.93377483443709
1939	112	103.13245033112582
1942	111	102.95364238410596
2036	113	112.81456953642385
2041	110	113.93377483443709
11638	174	175.33112582781456
11673	236	200.42384105960264
11691	255	204.7814569536424
11695	257	204.66887417218544
11703	259	201.7748344370861
11716	251	192.5496688741722
11961	147	129.86092715231788
11977	174	144.3046357615894
11980	176	146.7682119205298
11984	177	149.9933774834437
11995	181	157.41059602649005
12016	184	164.02649006622516
12025	188	163.1523178807947
12033	191	162.6887417218543
12041	189	161.32450331125827
12057	177	157.0794701986755
12072	140	151.40397350993376
12074	141	150.58278145695365
12076	138	149.7748344370861
12087	124	145.12582781456953
12116	131	130.88079470198676
12127	131	125.1456953642384
12139	123	119.25827814569537
12425	102	93.0
12490	105	98.6887417218543
12517	103	98.31788079470199
12560	100	105.13245033112582
12598	110	115.51655629139073
12608	124	119.17880794701986
12622	134	124.62913907284768
12624	136	125.3112582781457
12642	137	131.50993377483445
12645	136	132.3708609271523
12656	143	135.0066225165563
12661	141	135.81456953642385
12672	143	136.47682119205297
12690	151	133.49668874172184
12704	153	128.36423841059602
12727	131	117.00662251655629
24198	284	236.13245033112582
24217	200	210.17880794701986
24219	196	207.841059602649
24236	157	191.49006622516555
24238	157	189.87417218543047
24257	112	175.27814569536423
24265	110	170.53642384105962
24294	126	163.68211920529802
24296	128	164.13245033112582
24334	209	182.48344370860926
24401	244	203.05960264900662
24406	213	204.01986754966887
24409	215	204.64238410596028
24416	185	206.01324503311258
24418	190	206.48344370860926
24423	168	207.78807947019868
24426	160	208.63576158940398
24429	156	209.4569536423841
24446	144	214.4503311258278
24448	140	214.9205298013245
24484	237	222.50993377483445
24493	248	225.34437086092714
24506	261	228.64238410596028
24527	268	230.94039735099338
24548	264	223.18543046357615
24561	254	216.95364238410596
24571	224	212.24503311258277
24576	209	209.35761589403972
24583	183	205.3841059602649
24585	175	204.2185430463576
24594	156	198.83443708609272
24610	137	189.36423841059602
24616	156	185.65562913907286
24618	157	184.51655629139074
24625	146	180.49006622516555
24646	173	169.47682119205297
24652	170	166.78807947019868
24660	179	164.09933774834437
24685	174	157.5562913907285
24691	177	154.96026490066225
24698	177	151.2317880794702
24714	173	142.16556291390728
24752	108	126.01986754966887
24808	103	130.43046357615893
24826	143	139.3841059602649
24868	187	163.9933774834437
24878	194	165.43046357615893
24880	194	165.51655629139074
24888	199	164.5496688741722
24894	194	162.7086092715232
24940	138	138.2317880794702
25104	111	103.45033112582782
25118	105	98.11920529801324
30384	102	105.86754966887418
30401	125	114.96026490066225
30413	134	119.49668874172185
30446	136	127.59602649006622
30448	139	127.87417218543047
30470	143	126.55629139072848
30473	139	125.65562913907284
30483	136	122.68211920529801
30486	134	121.59602649006622
30517	109	106.18543046357615
31774	113	94.62913907284768
31778	114	96.0794701986755
31788	111	98.62913907284768
31824	106	106.94701986754967
31826	106	107.29139072847683
31833	101	108.33774834437087
31874	110	114.31788079470199
31910	121	121.52317880794702
31912	122	122.01324503311258
31919	125	123.50331125827815
31929	139	126.57615894039735
31938	140	130.40397350993376
31946	137	132.50993377483445
31968	142	138.56953642384107
